variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps,machine,approach,t_per_step,t_1gpu,speedup,efficiency,t_ref,gain,baseline_eff,baseline_ok
4-omp-stream-omp,4,1280,5,0,15.7245,16.1107,16.1288,2.5,500,H100,01,0.032221400000000004,0.13134780000000001,4.0764150533496375,1.0191037633374094,0.031107235451535053,0.9654215971849469,0.9965119189138459,True
4-omp-stream-omp-p2p,4,512,5,0,0.9437,0.9646,0.9686,2.6,501,H100,01,0.0019253493013972056,0.007325548902195609,3.8047895500725692,0.9511973875181423,0.0019012703757640655,0.987493736530994,0.9306555615260613,True
4-omp-stream-omp-p2p,4,640,5,0,1.2058,1.2092,1.2163,0.9,500,H100,01,0.0024184000000000002,0.0123076,5.08914985114125,1.2722874627853125,0.0023883939013886204,0.9875925824465018,1.240150169546262,True
4-omp-stream-omp-p2p,4,768,5,0,3.1632,3.1851,3.1946,1.0,501,H100,01,0.006357485029940119,0.02731437125748503,4.2964114156541395,1.0741028539135349,0.006405331255564853,1.0075259674854766,1.0271083435619555,True
4-omp-stream-omp-p2p,4,896,5,0,4.657,4.6719,4.7007,0.9,501,H100,01,0.009325149700598803,0.043149101796407185,4.627175239196045,1.1567938097990111,0.009406697384530548,1.0087449195508904,1.1113586319017141,True
4-omp-stream-omp-p2p,4,1024,5,0,8.1622,8.2127,8.2626,1.2,501,H100,01,0.016392614770459082,0.06916706586826347,4.219404093659819,1.0548510234149548,0.016261120627898373,0.9919784522236396,1.045351220982816,True
4-omp-stream-omp-p2p,4,1152,5,0,11.8988,11.9431,12.0948,1.6,500,H100,01,0.0238862,0.099233,4.154407147223083,1.0386017868057706,0.02402550310063863,1.0058319490182042,1.0065052974602993,True
4-omp-stream-omp-p2p,4,1280,5,0,14.8297,14.9283,14.984,1.0,500,H100,01,0.0298566,0.13134780000000001,4.399288599505637,1.0998221498764094,0.030021029762900858,1.0055073170723008,1.0316177756475444,True
1-omp,1,512,5,0,3.4146,3.6681,3.6746,7.1,501,H100,02,0.007321556886227544,0.007321556886227544,1.0,1.0,0.0071843984574886475,0.9812664941527801,1.0,True
1-omp,1,640,5,0,6.13,6.1442,6.1515,0.4,500,H100,02,0.0122884,0.0122884,1.0,1.0,0.012300130464970176,1.0009545966090114,1.0,True
1-omp,1,768,5,0,13.6714,13.7234,13.7414,0.5,501,H100,02,0.02739201596806387,0.02739201596806387,1.0,1.0,0.027365644602237355,0.9990372608625352,1.0,True
1-omp,1,896,5,0,21.2861,21.6017,21.7973,2.4,501,H100,02,0.04311716566866268,0.04311716566866268,1.0,1.0,0.04312960519311836,1.0002885051524786,1.0,True
1-omp,1,1024,5,0,34.6469,34.6743,34.7095,0.2,501,H100,02,0.06921017964071857,0.06921017964071857,1.0,1.0,0.06886549034751525,0.9950196734787764,1.0,True
1-omp,1,1152,5,0,49.6413,49.6654,49.6758,0.1,500,H100,02,0.0993308,0.0993308,1.0,1.0,0.09927939190889526,0.9994824556823791,1.0,True
1-omp,1,1280,5,0,63.6227,63.709,65.7156,3.3,500,H100,02,0.127418,0.127418,1.0,1.0,0.1300335558185407,1.0205273651959748,1.0,True
2-omp,2,512,5,0,2.2028,2.2809,2.3155,4.9,501,H100,02,0.004552694610778443,0.007321556886227544,1.6081809811916348,0.8040904905958174,0.005489891694034515,1.2058554687672813,0.46098676112241566,False
2-omp,2,640,5,0,3.2887,3.2917,3.2992,0.3,500,H100,02,0.0065834000000000005,0.0122884,1.8665735030531334,0.9332867515265667,0.007942959333804624,1.2065132505703167,0.5279422110121652,False
2-omp,2,768,5,0,7.6016,7.6635,7.6986,1.3,501,H100,02,0.015296407185628743,0.02739201596806387,1.7907483525804135,0.8953741762902068,0.01859030553674864,1.2153380405703749,0.49128330688647476,False
2-omp,2,896,5,0,11.3062,11.3473,11.4195,1.0,501,H100,02,0.02264930139720559,0.04311716566866268,1.9036863394816388,0.9518431697408194,0.02800230419573163,1.2363429540121038,0.503437338438107,False
